Id,Id2,County,State,Total_population,Sex_ratio,Employed_pct,pct_OCC01,pct_OCC02,pct_OCC03,pct_OCC04,pct_OCC05,pct_COW01,pct_COW02,pct_COW03,pct_COW04,Median_Household_Income,BPL,Age_group_5to17,Age_group_18to34,Age_group_35to49,Age_group_50to74,Age_group_75andover,EDU01,EDU02,EDU03,TAX_P,TAX_SR,pct_Married
0500000US01001,1001,Autauga County, Alabama,55049,1.048182461,44.07346182,14.9049029,7.70586205,10.65959418,3.460553325,7.342549365,32.25490018,9.34440226,2.474159385,0,53099,9.4,19.4,20.8,21,21.6,5.6,9.840324075,25.96777416,16.93037112,0.035530949,0.511239551,0.61023622
0500000US01003,1003,Baldwin County, Alabama,199510,1.048967352,43.98426144,15.03182798,7.525938549,11.76783119,4.625833292,5.032830435,35.77013684,5.552102651,2.580321788,0.081700165,51365,9.3,16.5,19,19.1,26.2,7.5,8.431657561,22.569796,21.34679966,0.035530949,0.511239551,0.576331766
0500000US01005,1005,Barbour County, Alabama,26614,0.869091931,33.79048621,9.025325017,5.241602164,7.496054708,4.001653265,8.025851056,24.91170061,6.462763959,2.348388066,0.067633576,33956,20,16,23.2,19.1,23.7,6.6,20.15104832,28.2708349,9.213196062,0.035530949,0.511239551,0.434050119
0500000US01007,1007,Bibb County, Alabama,22572,0.867924528,37.01045543,7.881446039,6.565656566,7.083997873,6.15364168,9.325713273,28.3758639,6.313131313,2.197412724,0.124047492,39776,11.7,15.9,23,21.4,22.8,5.9,15.80276449,32.02197413,8.506113769,0.035530949,0.511239551,0.484051979
0500000US01009,1009,Blount County, Alabama,57704,1.019599608,37.42028282,10.98190767,4.720643283,8.874601414,5.448495772,7.394634687,31.18674615,4.679051712,1.369055871,0.185429086,46212,12.2,17.5,19.5,19.8,24.7,6.8,15.12200194,25.1646333,9.158810481,0.035530949,0.511239551,0.61142408
0500000US01011,1011,Bullock County, Alabama,10552,0.845077811,39.55648218,6.918119788,6.918119788,7.695223654,6.226307809,11.79871114,30.22175891,6.633813495,2.70090978,0,29335,25.3,15.6,21.4,21.2,26.3,5.5,24.84836998,29.12244124,7.126611069,0.035530949,0.511239551,0.347706616
0500000US01013,1013,Butler County, Alabama,20280,1.129804663,38.51084813,10.8382643,6.59270217,7.75147929,4.225838264,9.102564103,30.38954635,5.986193294,2.031558185,0.103550296,34315,20.6,17.3,19.9,17.9,25.4,8.1,14.57593688,30.00493097,11.17357002,0.035530949,0.511239551,0.492513369
0500000US01015,1015,Calhoun County, Alabama,115883,1.078917154,40.56677856,11.48399679,7.081280257,9.645935987,4.2353063,8.120259227,30.26155692,8.294572974,1.979582855,0.031065816,41954,15.8,16.5,22.8,18.5,24.3,6.6,13.34104226,24.73356748,12.62739142,0.035530949,0.511239551,0.531186185
0500000US01017,1017,Chambers County, Alabama,34018,1.087121909,41.24581104,9.515550591,5.597036863,10.40919513,4.844494091,10.87953436,34.82568052,5.029690164,1.384561115,0.00587924,36027,15.3,15.4,20.1,18.6,24.8,7.8,14.90975366,30.93068376,9.118701864,0.035530949,0.511239551,0.52
0500000US01019,1019,Cherokee County, Alabama,25897,1.010168439,39.3597714,12.19446268,6.23624358,6.973780747,4.992856315,8.96242808,28.75622659,7.406263274,3.108468162,0.088813376,38925,13.3,15.7,16.7,18.8,27.6,7.6,14.46113449,28.87207012,10.46839402,0.035530949,0.511239551,0.662164697
0500000US01021,1021,Chilton County, Alabama,43817,1.032422654,40.22867837,10.58721501,6.381084967,9.525983066,6.280667321,7.453728005,32.22493553,6.25328069,1.583860146,0.166602004,42594,15.8,17.6,21.3,19.8,21.8,6.1,14.74770066,31.46495652,10.34301755,0.035530949,0.511239551,0.563089174
0500000US01023,1023,Choctaw County, Alabama,13287,1.092770515,32.06141341,8.128245654,4.854368932,6.314442688,5.772559645,6.991796493,25.60397381,4.711372018,1.618122977,0.127944608,32622,16.2,15.9,17.8,18.1,26.8,8.7,16.76074358,30.11966584,8.534657936,0.035530949,0.511239551,0.547591522
0500000US01025,1025,Clarke County, Alabama,24847,1.116800136,32.83696221,7.01493138,4.551857367,8.037187588,4.137320401,9.095665473,27.1541836,4.085000201,1.585704512,0.012073892,32735,17.7,17.1,19.5,18.9,26.2,7.9,14.67782831,35.83933674,8.423552139,0.035530949,0.511239551,0.560273973
0500000US01027,1027,Clay County, Alabama,13483,1.064145744,40.56960617,8.165838463,5.792479419,8.210338945,5.866646889,12.53430245,31.64725951,5.829563154,3.092783505,0,38815,13.2,16.6,17.7,19.4,26.3,8.3,19.16487429,28.00563673,7.898835571,0.035530949,0.511239551,0.582131485
0500000US01029,1029,Cleburne County, Alabama,14991,1.019533881,38.84330598,10.0060036,4.375958909,9.338936695,7.437796011,7.684610766,30.22480155,5.536655327,3.081849109,0,36316,12.2,17.4,18.1,20.2,24.1,7.4,19.15149089,29.44433327,8.244946968,0.035530949,0.511239551,0.604496679
0500000US01031,1031,Coffee County, Alabama,50991,1.022649742,41.87601734,13.21017434,7.509168285,9.558549548,5.087172246,6.510952913,30.27396992,9.085917123,2.453374125,0.062756173,47872,12.9,17.6,20.9,20.3,21.8,6.8,11.90013924,22.48632112,16.62450236,0.035530949,0.511239551,0.554980337
